training_seed,scenario,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,total_cost,true_cost_advantage,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
60,routing_persistent_hotspot_cluster1,51,remaining,1,98005110,3,2,specimen_transfer:-1x0.05,50394831.283948995,-402744.25303059816,0.5271089873185076,36.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,remaining,1,98005110,3,3,specimen_transfer:+1x0.1,48948123.87496372,1043963.1559546739,0.5271089873185076,34.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,remaining,1,98005110,3,4,specimen_transfer:-1x0.1,50697963.77496371,-705876.7440453097,0.5271089873185076,37.0,0.05795275590551182
61,routing_persistent_hotspot_cluster2,0,4,4,99000000,3,0,mdl2,13125761.45447696,0.0,0.20071059861991167,0.0,0.0
61,routing_persistent_hotspot_cluster2,0,4,4,99000000,3,1,specimen_transfer:+1x0.05,13125761.45447696,0.0,0.20071059861991167,0.0,0.0
61,routing_persistent_hotspot_cluster2,0,4,4,99000000,3,2,specimen_transfer:-1x0.05,13125761.45447696,0.0,0.20071059861991167,0.0,0.0
61,routing_persistent_hotspot_cluster2,0,4,4,99000000,3,3,specimen_transfer:+1x0.1,13125761.45447696,0.0,0.20071059861991167,0.0,0.0
61,routing_persistent_hotspot_cluster2,0,4,4,99000000,3,4,specimen_transfer:-1x0.1,13125761.45447696,0.0,0.20071059861991167,0.0,0.0
61,routing_persistent_hotspot_cluster2,0,remaining,52,99000010,3,0,mdl2,2247841974.502434,0.0,0.5382100092454163,1904.0,0.057064184729305606
61,routing_persistent_hotspot_cluster2,0,remaining,52,99000010,3,1,specimen_transfer:+1x0.05,2247841974.502434,0.0,0.5382100092454163,1904.0,0.057064184729305606
61,routing_persistent_hotspot_cluster2,0,remaining,52,99000010,3,2,specimen_transfer:-1x0.05,2247841974.502434,0.0,0.5382100092454163,1904.0,0.057064184729305606
61,routing_persistent_hotspot_cluster2,0,remaining,52,99000010,3,3,specimen_transfer:+1x0.1,2247841974.502434,0.0,0.5382100092454163,1904.0,0.057064184729305606
