training_seed,scenario,step,configured_horizon,horizon,candidate_index,candidate_label,executed_action_id,discovery_seed_start,discovery_replications,discovery_total_cost,discovery_cost_advantage,validation_seed_start,validation_replications,validation_total_cost,validation_cost_advantage
60,routing_persistent_hotspot_cluster1,10,remaining,42,2,specimen_transfer:-1x0.05,dbb673d49c540f0f,103001010,3,2394076144.849772,-17449491.30467415,107001010,5,2571535153.799559,-10063276.531459332
60,routing_persistent_hotspot_cluster1,10,remaining,42,3,specimen_transfer:+1x0.1,4655ff88126e2a0e,103001010,3,2379972177.445138,-3345523.9000401497,107001010,5,2565318854.904894,-3846977.6367940903
60,routing_persistent_hotspot_cluster1,10,remaining,42,4,specimen_transfer:-1x0.1,04004c92cc5d4a6a,103001010,3,2407241464.604555,-30614811.059457302,107001010,5,2589476152.754962,-28004275.486862183
60,routing_persistent_hotspot_cluster1,11,4,4,0,mdl2,6a04d60577c1e97a,103001100,3,188142592.90865126,0.0,107001100,5,192140398.4850847,0.0
60,routing_persistent_hotspot_cluster1,11,4,4,1,specimen_transfer:+1x0.05,6c0892d06d08a0dc,103001100,3,186857787.62619093,1284805.282460332,107001100,5,190720064.8188061,1420333.6662786007
60,routing_persistent_hotspot_cluster1,11,4,4,2,specimen_transfer:-1x0.05,dbb6e13c219697d5,103001100,3,189583105.95529103,-1440513.0466397703,107001100,5,192469886.83495325,-329488.349868536
60,routing_persistent_hotspot_cluster1,11,4,4,3,specimen_transfer:+1x0.1,066c62f5414475ad,103001100,3,184336863.28841248,3805729.620238781,107001100,5,187682776.8063001,4457621.678784609
60,routing_persistent_hotspot_cluster1,11,4,4,4,specimen_transfer:-1x0.1,78f551ead65bd629,103001100,3,190309233.7113982,-2166640.8027469516,107001100,5,193423626.77585477,-1283228.2907700539
60,routing_persistent_hotspot_cluster1,11,remaining,41,0,mdl2,6a04d60577c1e97a,103001110,3,2227149723.467487,0.0,107001110,5,2354579240.2928877,0.0
60,routing_persistent_hotspot_cluster1,11,remaining,41,1,specimen_transfer:+1x0.05,6c0892d06d08a0dc,103001110,3,2240526107.530764,-13376384.063277245,107001110,5,2342055678.470554,12523561.822333813
60,routing_persistent_hotspot_cluster1,11,remaining,41,2,specimen_transfer:-1x0.05,dbb6e13c219697d5,103001110,3,2248288841.4158583,-21139117.94837141,107001110,5,2362163835.5881886,-7584595.295300961
60,routing_persistent_hotspot_cluster1,11,remaining,41,3,specimen_transfer:+1x0.1,066c62f5414475ad,103001110,3,2237254762.357368,-10105038.889881134,107001110,5,2340096903.0559673,14482337.236920357
60,routing_persistent_hotspot_cluster1,11,remaining,41,4,specimen_transfer:-1x0.1,78f551ead65bd629,103001110,3,2283987478.2565503,-56837754.78906345,107001110,5,2397443800.853334,-42864560.56044626
60,routing_persistent_hotspot_cluster1,12,4,4,0,mdl2,984f1a497daa87e7,103001200,3,217361993.7731934,0.0,107001200,5,220584736.3830245,0.0
60,routing_persistent_hotspot_cluster1,12,4,4,1,specimen_transfer:+1x0.05,d22181b271bebf17,103001200,3,215543442.01949954,1818551.7536938488,107001200,5,219013339.8145625,1571396.5684620142
60,routing_persistent_hotspot_cluster1,12,4,4,2,specimen_transfer:-1x0.05,ab56562f48c0397a,103001200,3,217843262.3956499,-481268.6224565208,107001200,5,221114473.9215787,-529737.5385541916
60,routing_persistent_hotspot_cluster1,12,4,4,3,specimen_transfer:+1x0.1,31e37a14b32a0137,103001200,3,214294099.624377,3067894.148816377,107001200,5,218369916.85998994,2214819.5230345726
60,routing_persistent_hotspot_cluster1,12,4,4,4,specimen_transfer:-1x0.1,b47d2f7768f8958b,103001200,3,218582950.35646406,-1220956.583270669,107001200,5,221940780.719273,-1356044.3362484872
60,routing_persistent_hotspot_cluster1,12,remaining,40,0,mdl2,984f1a497daa87e7,103001210,3,2222070179.4815674,0.0,107001210,5,2179789807.525896,0.0
60,routing_persistent_hotspot_cluster1,12,remaining,40,1,specimen_transfer:+1x0.05,d22181b271bebf17,103001210,3,2211068590.174069,11001589.307498455,107001210,5,2177503229.547456,2286577.9784402847
60,routing_persistent_hotspot_cluster1,12,remaining,40,2,specimen_transfer:-1x0.05,ab56562f48c0397a,103001210,3,2209460197.5553565,12609981.92621088,107001210,5,2200628031.923124,-20838224.397227764
60,routing_persistent_hotspot_cluster1,12,remaining,40,3,specimen_transfer:+1x0.1,31e37a14b32a0137,103001210,3,2207864310.883826,14205868.597741604,107001210,5,2177328131.329496,2461676.1964001656
60,routing_persistent_hotspot_cluster1,12,remaining,40,4,specimen_transfer:-1x0.1,b47d2f7768f8958b,103001210,3,2221176066.003132,894113.4784355164,107001210,5,2210935935.542688,-31146128.01679182
60,routing_persistent_hotspot_cluster1,13,4,4,0,mdl2,751a0f3fbd00963c,103001300,3,225897144.39473757,0.0,107001300,5,224207974.07764116,0.0
60,routing_persistent_hotspot_cluster1,13,4,4,1,specimen_transfer:+1x0.05,0f1a47c84dfae0f6,103001300,3,224608536.61446953,1288607.7802680433,107001300,5,222701833.6283804,1506140.4492607713
60,routing_persistent_hotspot_cluster1,13,4,4,2,specimen_transfer:-1x0.05,ac76c1417df0935e,103001300,3,227181368.65209055,-1284224.257352978,107001300,5,225447498.509652,-1239524.4320108294
60,routing_persistent_hotspot_cluster1,13,4,4,3,specimen_transfer:+1x0.1,f34410a35024c2c0,103001300,3,225372000.3785077,525144.0162298679,107001300,5,222845607.07276836,1362367.004872799
60,routing_persistent_hotspot_cluster1,13,4,4,4,specimen_transfer:-1x0.1,ed51b05dc64780af,103001300,3,227816919.20133063,-1919774.8065930605,107001300,5,226545331.8217296,-2337357.744088441
60,routing_persistent_hotspot_cluster1,13,remaining,39,0,mdl2,751a0f3fbd00963c,103001310,3,2407892616.1181116,0.0,107001310,5,2291480882.2344275,0.0
60,routing_persistent_hotspot_cluster1,13,remaining,39,1,specimen_transfer:+1x0.05,0f1a47c84dfae0f6,103001310,3,2400267169.086132,7625447.031979561,107001310,5,2290988779.130976,492103.103451252
60,routing_persistent_hotspot_cluster1,13,remaining,39,2,specimen_transfer:-1x0.05,ac76c1417df0935e,103001310,3,2412795003.7721133,-4902387.654001713,107001310,5,2296390637.761669,-4909755.527241707
60,routing_persistent_hotspot_cluster1,13,remaining,39,3,specimen_transfer:+1x0.1,f34410a35024c2c0,103001310,3,2400403387.2674193,7489228.850692272,107001310,5,2287708120.790042,3772761.4443855286
