algorithm,training_seed,scenario,checkpoint_variant,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,executed_action_id,executed_action_distinct,total_cost,true_cost_advantage,critic_q,critic_advantage,gradient_score,policy_action_linf_to_candidate,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,4,4,96201810,3,0,mdl2,9472127bf721be07,1,256127039.73546067,0.0,-0.65304034948349,0.0,-4.710795474238694e-05,0.012462222017347813,0.4446775913621969,220.0,0.04020850332058723
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,4,4,96201810,3,1,specimen_transfer:+1x0.05,241ec2627e75e381,1,254411498.07819363,1715541.657267034,-0.6526593565940857,0.0003809928894042969,0.0005045433063060045,0.05864212289452553,0.4465877184728593,218.0,0.039522758872785065
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,4,4,96201810,3,2,specimen_transfer:-1x0.05,636e5fcfd3366b3d,1,257174385.45075777,-1047345.7152971029,-0.6534515619277954,-0.0004112124443054199,-0.0005987592157907784,0.05480818450450897,0.4445502677054615,221.0,0.03927418815441569
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,4,4,96201810,3,3,specimen_transfer:+1x0.1,b5b569bb32a5fb70,1,251508340.22545934,4618699.510001332,-0.6518594026565552,0.0011809468269348145,0.0010561940725892782,0.107876718044281,0.4481158201613891,214.33333333333334,0.03797473968940041
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,4,4,96201810,3,4,specimen_transfer:-1x0.1,5975e0e91924901c,1,258403722.99113956,-2276683.255678892,-0.6542514562606812,-0.0012111067771911621,-0.0011504105059430003,0.09723636507987976,0.44302153062056404,222.33333333333334,0.039910470924059964
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,remaining,34,96201820,3,0,mdl2,9472127bf721be07,1,2094636825.7236297,0.0,-0.65304034948349,0.0,-4.710795474238694e-05,0.012462222017347813,0.49178624873476323,1952.6666666666667,0.06133212014217341
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,remaining,34,96201820,3,1,specimen_transfer:+1x0.05,241ec2627e75e381,1,2102776645.5298378,-8139819.806208134,-0.6526593565940857,0.0003809928894042969,0.0005045433063060045,0.05864212289452553,0.490785525927203,1960.6666666666667,0.06321056425853615
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,remaining,34,96201820,3,2,specimen_transfer:-1x0.05,636e5fcfd3366b3d,1,2097248827.5047302,-2612001.7811005116,-0.6534515619277954,-0.0004112124443054199,-0.0005987592157907784,0.05480818450450897,0.4906684086726672,1961.6666666666667,0.06356034713498372
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,remaining,34,96201820,3,3,specimen_transfer:+1x0.1,b5b569bb32a5fb70,1,2096665862.2045105,-2029036.4808807373,-0.6518594026565552,0.0011809468269348145,0.0010561940725892782,0.107876718044281,0.491927082332331,1955.3333333333333,0.06282871229612841
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,remaining,34,96201820,3,4,specimen_transfer:-1x0.1,5975e0e91924901c,1,2106373144.085399,-11736318.3617692,-0.6542514562606812,-0.0012111067771911621,-0.0011504105059430003,0.09723636507987976,0.4884512129564658,1974.0,0.0641945243146216
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,1,1,96202500,3,0,mdl2,3bca89fb27e18c2d,1,87020585.83666046,0.0,-0.6527583003044128,0.0,-0.0004272666701581329,0.03211813047528267,0.4699272967614012,103.0,0.04505632040050062
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,1,1,96202500,3,1,specimen_transfer:+1x0.05,a825bf48aeb8a771,1,85600481.50265305,1420104.3340074122,-0.6520156860351562,0.0007426142692565918,0.00046698807273060083,0.04594167694449425,0.4699272967614012,101.0,0.04505632040050062
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,1,1,96202500,3,2,specimen_transfer:-1x0.05,49e89435039d5a26,1,85820801.76324585,1199784.0734146088,-0.6535534858703613,-0.0007951855659484863,-0.0013215213548392057,0.0786895602941513,0.4699272967614012,101.0,0.04505632040050062
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,1,1,96202500,3,3,specimen_transfer:+1x0.1,85751f77ad6a58b8,1,85931428.102858,1089157.7338024527,-0.6508544087409973,0.0019038915634155273,0.001361242844723165,0.0902273952960968,0.4699272967614012,102.0,0.04505632040050062
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,1,1,96202500,3,4,specimen_transfer:-1x0.1,2da1c544b9967e42,1,85776062.02151269,1244523.8151477724,-0.6546010971069336,-0.001842796802520752,-0.00221577612683177,0.12526099383831024,0.4699272967614012,101.0,0.045141065830721
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,4,4,96202510,3,0,mdl2,3bca89fb27e18c2d,1,279203929.92240065,0.0,-0.6527583003044128,0.0,-0.0004272666701581329,0.03211813047528267,0.4721543240341612,302.0,0.05098666493651465
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,4,4,96202510,3,1,specimen_transfer:+1x0.05,a825bf48aeb8a771,1,278015668.3000615,1188261.6223391294,-0.6520156860351562,0.0007426142692565918,0.00046698807273060083,0.04594167694449425,0.4728467593864012,300.3333333333333,0.05022328732351797
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,4,4,96202510,3,2,specimen_transfer:-1x0.05,49e89435039d5a26,1,281741163.5861767,-2537233.66377604,-0.6535534858703613,-0.0007951855659484863,-0.0013215213548392057,0.0786895602941513,0.47126532679748045,305.6666666666667,0.0521224499307553
